timestamp,close,high,low,trade_count,open,volume,vwap
2023-08-01 12:03:00+00:00,533.71,533.71,533.71,12,533.71,447,533.832841
2023-08-01 12:30:00+00:00,530.0,530.0,530.0,8,530.0,336,530.008929
2023-08-01 12:47:00+00:00,529.8,529.8,529.8,2,529.8,201,529.827363
2023-08-01 13:30:00+00:00,530.42,530.75,529.61,259,530.4,15870,530.303929
2023-08-01 13:31:00+00:00,529.14,530.02,528.76,151,529.91,5598,529.289837
2023-08-01 13:32:00+00:00,529.455,529.73,528.84,70,529.53,2982,529.258869
2023-08-01 13:33:00+00:00,529.3564,529.88,529.3564,28,529.44,1421,529.570014
2023-08-01 13:34:00+00:00,530.54,530.96,530.54,45,530.96,905,530.415855
2023-08-01 13:35:00+00:00,530.73,531.01,530.34,53,530.686,2384,530.653482
2023-08-01 13:36:00+00:00,531.5,531.5,530.99,27,530.99,1032,531.182057
2023-08-01 13:37:00+00:00,531.21,531.5,530.95,87,531.5,4638,531.192617
2023-08-01 13:38:00+00:00,531.52,531.52,530.91,36,531.28,1709,531.176409
2023-08-01 13:39:00+00:00,531.5,531.5,531.04,27,531.08,771,531.243171
2023-08-01 13:40:00+00:00,531.4,531.41,530.98,47,531.25,1092,531.261745
2023-08-01 13:41:00+00:00,530.91,531.25,530.685,49,531.25,1790,530.916207
2023-08-01 13:42:00+00:00,531.36,531.45,530.95,54,531.36,2602,531.27837
2023-08-01 13:43:00+00:00,530.83,530.98,530.81,44,530.98,1405,530.880527
2023-08-01 13:44:00+00:00,530.79,530.9016,530.77,28,530.77,1163,530.846353
2023-08-01 13:45:00+00:00,531.39,531.39,530.65,46,530.65,780,531.05833
2023-08-01 13:46:00+00:00,530.56,531.2,530.51,85,531.2,3026,530.839922
2023-08-01 13:47:00+00:00,531.68,531.68,530.96,34,530.96,637,531.410173
2023-08-01 13:49:00+00:00,531.5,531.505,531.02,56,531.49,1680,531.229493
2023-08-01 13:50:00+00:00,531.32,531.59,531.23,36,531.59,1055,531.413707
2023-08-01 13:51:00+00:00,531.335,531.69,531.335,42,531.515,785,531.451874
2023-08-01 13:52:00+00:00,531.36,531.71,531.36,46,531.71,848,531.410964
2023-08-01 13:53:00+00:00,530.98,531.54,530.98,43,531.36,1639,531.132873
2023-08-01 13:54:00+00:00,530.98,531.12,530.85,51,530.85,1094,531.043134
2023-08-01 13:55:00+00:00,530.79,530.92,530.575,38,530.66,1089,530.770202
2023-08-01 13:56:00+00:00,530.46,530.745,530.45,52,530.745,1704,530.600862
2023-08-01 13:57:00+00:00,530.3,530.81,530.3,46,530.75,1274,530.582684
2023-08-01 13:58:00+00:00,530.7,530.85,530.545,43,530.71,1345,530.659989
2023-08-01 13:59:00+00:00,530.18,530.53,530.18,30,530.53,691,530.377179
2023-08-01 14:00:00+00:00,531.21,531.26,530.23,102,530.23,4064,530.900728
2023-08-01 14:01:00+00:00,530.66,530.66,530.66,43,530.66,349,530.575271
2023-08-01 14:02:00+00:00,530.81,530.81,530.81,34,530.81,493,530.794586
2023-08-01 14:03:00+00:00,531.29,531.29,531.29,32,531.29,955,531.232156
2023-08-01 14:04:00+00:00,531.93,531.93,531.85,25,531.85,409,531.874144
2023-08-01 14:05:00+00:00,532.485,532.485,532.17,52,532.17,799,532.342552
2023-08-01 14:06:00+00:00,532.03,532.48,532.03,54,532.48,908,532.244544
2023-08-01 14:07:00+00:00,532.56,532.56,532.51,42,532.51,675,532.247869
2023-08-01 14:08:00+00:00,532.83,532.83,532.585,34,532.62,1051,532.710543
2023-08-01 14:09:00+00:00,532.87,532.87,532.73,36,532.75,1118,532.817367
2023-08-01 14:10:00+00:00,532.83,533.01,532.83,46,532.84,1012,532.896373
2023-08-01 14:11:00+00:00,532.51,532.68,532.51,63,532.68,2088,532.608176
2023-08-01 14:12:00+00:00,532.28,532.65,532.28,41,532.65,1209,532.480066
2023-08-01 14:13:00+00:00,531.97,532.165,531.97,39,532.165,743,531.839137
2023-08-01 14:14:00+00:00,530.66,531.47,530.66,61,531.47,1958,531.178294
