timestamp,SOXL,SOXX
2023-08-01 13:53:00+00:00,27.812,530.98
2023-08-01 13:54:00+00:00,27.7807,530.98
2023-08-01 13:55:00+00:00,27.79,530.79
2023-08-01 13:56:00+00:00,27.73,530.46
2023-08-01 13:57:00+00:00,27.73,530.3
2023-08-01 13:58:00+00:00,27.71,530.7
2023-08-01 13:59:00+00:00,27.7099,530.18
2023-08-01 14:00:00+00:00,27.75,531.21
2023-08-01 14:01:00+00:00,27.77,530.66
2023-08-01 14:02:00+00:00,27.7599,530.81
2023-08-01 14:03:00+00:00,27.84,531.29
2023-08-01 14:04:00+00:00,27.95,531.93
2023-08-01 14:05:00+00:00,28.01,532.485
2023-08-01 14:06:00+00:00,27.97,532.03
2023-08-01 14:07:00+00:00,28.01,532.56
2023-08-01 14:08:00+00:00,28.08,532.83
2023-08-01 14:09:00+00:00,28.1396,532.87
2023-08-01 14:10:00+00:00,28.1101,532.83
2023-08-01 14:11:00+00:00,28.0503,532.51
2023-08-01 14:12:00+00:00,27.99,532.28
2023-08-01 14:13:00+00:00,27.89,531.97
2023-08-01 14:14:00+00:00,27.79,530.66
2023-08-01 14:15:00+00:00,27.71,530.43
2023-08-01 14:16:00+00:00,27.71,530.13
2023-08-01 14:17:00+00:00,27.79,530.91
2023-08-01 14:18:00+00:00,27.64,530.1
2023-08-01 14:19:00+00:00,27.65,529.58
2023-08-01 14:20:00+00:00,27.71,530.36
2023-08-01 14:21:00+00:00,27.76,530.6925
2023-08-01 14:22:00+00:00,27.7906,531.0001
2023-08-01 14:23:00+00:00,27.8225,531.23
2023-08-01 14:24:00+00:00,27.8302,531.0599
2023-08-01 14:25:00+00:00,27.84,531.16
2023-08-01 14:26:00+00:00,27.91,531.73
2023-08-01 14:27:00+00:00,27.9699,532.0
2023-08-01 14:28:00+00:00,27.99,532.14
2023-08-01 14:29:00+00:00,28.0186,531.98
2023-08-01 14:30:00+00:00,28.0562,532.8
2023-08-01 14:31:00+00:00,28.07,532.83
2023-08-01 14:32:00+00:00,28.13,532.93
2023-08-01 14:33:00+00:00,28.1,532.74
2023-08-01 14:34:00+00:00,28.06,532.55
2023-08-01 14:35:00+00:00,28.13,533.08
2023-08-01 14:36:00+00:00,28.2118,533.22
2023-08-01 14:37:00+00:00,28.25,533.88
2023-08-01 14:38:00+00:00,28.25,533.74
2023-08-01 14:39:00+00:00,28.27,533.8042
2023-08-01 14:40:00+00:00,28.21,533.445
2023-08-01 14:41:00+00:00,28.3299,534.3368
2023-08-01 14:42:00+00:00,28.3,534.3368
2023-08-01 14:43:00+00:00,28.29,534.09
2023-08-01 14:44:00+00:00,28.23,533.7
2023-08-01 14:45:00+00:00,28.2313,533.68
2023-08-01 14:46:00+00:00,28.1899,533.4
2023-08-01 14:47:00+00:00,28.2,533.4
2023-08-01 14:48:00+00:00,28.215,533.32
2023-08-01 14:49:00+00:00,28.2987,533.85
2023-08-01 14:50:00+00:00,28.35,534.36
2023-08-01 14:51:00+00:00,28.31,534.18
2023-08-01 14:52:00+00:00,28.3201,534.3453
2023-08-01 14:53:00+00:00,28.44,535.0563
2023-08-01 14:54:00+00:00,28.375,534.56
2023-08-01 14:55:00+00:00,28.33,534.41
2023-08-01 14:56:00+00:00,28.32,534.3
2023-08-01 14:57:00+00:00,28.32,534.52
2023-08-01 14:58:00+00:00,28.275,534.2
2023-08-01 14:59:00+00:00,28.3594,533.8
2023-08-01 15:00:00+00:00,28.35,534.44
2023-08-01 15:01:00+00:00,28.36,534.48
2023-08-01 15:02:00+00:00,28.2422,533.8155
2023-08-01 15:03:00+00:00,28.2222,533.8155
2023-08-01 15:04:00+00:00,28.22,533.8155
2023-08-01 15:05:00+00:00,28.259,533.8155
2023-08-01 15:06:00+00:00,28.28,533.8155
2023-08-01 15:07:00+00:00,28.27,533.79
2023-08-01 15:08:00+00:00,28.25,533.62
2023-08-01 15:09:00+00:00,28.29,533.99
2023-08-01 15:10:00+00:00,28.29,534.07
2023-08-01 15:11:00+00:00,28.2,533.6
2023-08-01 15:12:00+00:00,28.21,533.6
2023-08-01 15:13:00+00:00,28.1801,533.6
2023-08-01 15:14:00+00:00,28.09,532.79
2023-08-01 15:15:00+00:00,28.16,532.86
2023-08-01 15:16:00+00:00,28.1,532.83
2023-08-01 15:17:00+00:00,28.1,532.73
2023-08-01 15:18:00+00:00,28.125,532.69
2023-08-01 15:19:00+00:00,28.16,533.23
2023-08-01 15:20:00+00:00,28.1001,532.81
2023-08-01 15:21:00+00:00,28.14,533.19
2023-08-01 15:22:00+00:00,28.18,533.42
2023-08-01 15:23:00+00:00,28.15,533.22
2023-08-01 15:24:00+00:00,28.13,533.06
2023-08-01 15:25:00+00:00,28.155,533.06
2023-08-01 15:26:00+00:00,28.2194,533.54
2023-08-01 15:27:00+00:00,28.27,533.95
2023-08-01 15:28:00+00:00,28.255,533.9
2023-08-01 15:29:00+00:00,28.2361,533.62
2023-08-01 15:30:00+00:00,28.18,533.32
2023-08-01 15:31:00+00:00,28.175,533.43
2023-08-01 15:32:00+00:00,28.16,533.25
2023-08-01 15:33:00+00:00,28.18,533.46
2023-08-01 15:34:00+00:00,28.19,533.32
2023-08-01 15:35:00+00:00,28.2,533.32
2023-08-01 15:36:00+00:00,28.255,533.55
2023-08-01 15:37:00+00:00,28.2838,533.87
2023-08-01 15:38:00+00:00,28.31,534.17
2023-08-01 15:39:00+00:00,28.355,534.33
2023-08-01 15:40:00+00:00,28.33,534.25
2023-08-01 15:41:00+00:00,28.34,534.18
2023-08-01 15:42:00+00:00,28.2901,534.4
2023-08-01 15:43:00+00:00,28.23,533.6635
2023-08-01 15:44:00+00:00,28.19,533.48
2023-08-01 15:45:00+00:00,28.23,533.48
2023-08-01 15:46:00+00:00,28.289,534.0
2023-08-01 15:47:00+00:00,28.27,534.05
2023-08-01 15:48:00+00:00,28.27,533.75
2023-08-01 15:49:00+00:00,28.27,533.87
2023-08-01 15:50:00+00:00,28.2999,533.87
2023-08-01 15:51:00+00:00,28.35,534.23
2023-08-01 15:52:00+00:00,28.3753,534.23
2023-08-01 15:53:00+00:00,28.37,534.58
2023-08-01 15:54:00+00:00,28.38,534.67
2023-08-01 15:55:00+00:00,28.4199,534.67
2023-08-01 15:56:00+00:00,28.4371,534.99
2023-08-01 15:57:00+00:00,28.435,534.63
2023-08-01 15:58:00+00:00,28.4,534.72
2023-08-01 15:59:00+00:00,28.4192,534.82
2023-08-01 16:00:00+00:00,28.435,534.82
2023-08-01 16:01:00+00:00,28.3677,534.68
2023-08-01 16:02:00+00:00,28.3905,534.68
2023-08-01 16:03:00+00:00,28.335,534.34
2023-08-01 16:04:00+00:00,28.325,534.34
2023-08-01 16:05:00+00:00,28.33,534.3
2023-08-01 16:06:00+00:00,28.305,534.31
2023-08-01 16:07:00+00:00,28.29,534.31
2023-08-01 16:08:00+00:00,28.315,534.15
2023-08-01 16:09:00+00:00,28.3223,534.15
2023-08-01 16:10:00+00:00,28.371,534.4773
2023-08-01 16:11:00+00:00,28.4084,534.65
2023-08-01 16:12:00+00:00,28.4,534.7426
2023-08-01 16:13:00+00:00,28.418,534.66
2023-08-01 16:14:00+00:00,28.42,534.92
2023-08-01 16:15:00+00:00,28.435,534.89
2023-08-01 16:16:00+00:00,28.455,535.0348
2023-08-01 16:17:00+00:00,28.45,535.05
2023-08-01 16:18:00+00:00,28.45,535.09
2023-08-01 16:19:00+00:00,28.4083,535.09
2023-08-01 16:20:00+00:00,28.3699,534.59
2023-08-01 16:21:00+00:00,28.4,534.59
2023-08-01 16:22:00+00:00,28.4,534.72
2023-08-01 16:23:00+00:00,28.38,534.77
2023-08-01 16:24:00+00:00,28.38,534.4199
2023-08-01 16:25:00+00:00,28.385,534.59
2023-08-01 16:26:00+00:00,28.3599,534.5
2023-08-01 16:27:00+00:00,28.3199,534.07
2023-08-01 16:28:00+00:00,28.34,534.07
2023-08-01 16:29:00+00:00,28.35,534.57
2023-08-01 16:30:00+00:00,28.3,534.225
2023-08-01 16:31:00+00:00,28.285,534.225
2023-08-01 16:32:00+00:00,28.34,534.225
2023-08-01 16:33:00+00:00,28.41,534.61
2023-08-01 16:34:00+00:00,28.4,534.74
2023-08-01 16:35:00+00:00,28.39,534.74
2023-08-01 16:36:00+00:00,28.405,534.79
2023-08-01 16:37:00+00:00,28.4,534.68
2023-08-01 16:38:00+00:00,28.435,534.92
2023-08-01 16:39:00+00:00,28.4011,534.8
2023-08-01 16:40:00+00:00,28.4214,534.81
2023-08-01 16:41:00+00:00,28.395,534.67
2023-08-01 16:42:00+00:00,28.42,534.82
2023-08-01 16:43:00+00:00,28.45,534.82
2023-08-01 16:44:00+00:00,28.46,535.015
2023-08-01 16:45:00+00:00,28.4563,534.93
2023-08-01 16:46:00+00:00,28.47,534.93
2023-08-01 16:47:00+00:00,28.45,534.93
